symbol,timeframe,labelset,label,duration_days,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean,dsh_mid_median
BTC_USD,1d,phase5,accumulation,20.0,240.0,30.0,15.0,10.0,,,,0.8246354730627334,
BTC_USD,1d,phase5,bear,252.0,3024.0,30.0,15.0,10.0,,,,0.8861585684994824,
BTC_USD,1d,phase5,distribution,5.5,66.0,30.0,15.0,10.0,,,,0.8525231296057404,
BTC_USD,1d,phase5,euphoria,2.0,24.0,30.0,15.0,10.0,,,,0.9354137814108467,
BTC_USD,1d,phase5,expansion,2.5,30.0,30.0,15.0,10.0,,,,0.8258170327231763,
BTC_USD,1d,phase6,accumulation,20.0,240.0,30.0,15.0,10.0,,,,0.8246354730627334,
BTC_USD,1d,phase6,bear,252.0,3024.0,30.0,15.0,10.0,,,,0.8861585684994824,
BTC_USD,1d,phase6,distribution,5.5,66.0,30.0,15.0,10.0,,,,0.8525231296057404,
BTC_USD,1d,phase6,euphoria,2.0,24.0,30.0,15.0,10.0,,,,0.9354137814108467,
BTC_USD,1d,phase6,expansion,2.5,30.0,30.0,15.0,10.0,,,,0.8258170327231763,
BTC_USD,1d,regime3,down,31.0,372.0,30.0,15.0,10.0,,,,0.8923182301998647,
BTC_USD,1d,regime3,range,6.0,72.0,30.0,15.0,10.0,,,,0.8023033292803943,
BTC_USD,1d,regime3,up,21.0,252.0,30.0,15.0,10.0,,,,0.9008412880982548,
BTC_USD,2h,phase5,accumulation,1.0,15.5,360.0,180.0,90.0,,,,0.9400114341777872,
BTC_USD,2h,phase5,bear,1.0,3.0,360.0,180.0,120.0,,,,0.9262069012905736,
BTC_USD,2h,phase5,distribution,1.0,11.0,360.0,180.0,120.0,,,,0.9242473480335636,
BTC_USD,2h,phase5,euphoria,1.0,2.5,360.0,135.0,81.0,,,,0.984040903958746,
BTC_USD,2h,phase5,expansion,1.0,6.5,360.0,180.0,120.0,,,,0.9603832343589478,
BTC_USD,2h,phase6,accumulation,1.0,15.5,360.0,180.0,90.0,,,,0.9400114341777872,
BTC_USD,2h,phase6,bear,1.0,4.0,360.0,180.0,120.0,,,,0.9246868837058774,
BTC_USD,2h,phase6,capitulation,1.0,2.5,360.0,180.0,96.0,,,,0.9091660648681452,
BTC_USD,2h,phase6,distribution,1.0,11.0,360.0,180.0,120.0,,,,0.9242473480335636,
BTC_USD,2h,phase6,euphoria,1.0,2.5,360.0,135.0,81.0,,,,0.984040903958746,
BTC_USD,2h,phase6,expansion,1.0,6.5,360.0,180.0,120.0,,,,0.9603832343589478,
BTC_USD,2h,regime3,down,1.0,22.0,360.0,180.0,90.0,,,,0.9053875748268412,
BTC_USD,2h,regime3,range,6.5,86.5,360.0,180.0,120.0,,,,0.8992766603253219,
BTC_USD,2h,regime3,up,2.0,34.5,360.0,180.0,120.0,,,,0.923946566928908,
BTC_USDT,1d,phase5,accumulation,11.0,132.0,30.0,15.0,10.0,,,,0.8523170960882485,
BTC_USDT,1d,phase5,bear,26.0,312.0,30.0,15.0,10.0,,,,0.9047731399271914,
BTC_USDT,1d,phase5,distribution,5.0,60.0,30.0,15.0,10.0,,,,0.8918947294540672,
BTC_USDT,1d,phase5,euphoria,2.0,24.0,30.0,15.0,10.0,,,,0.928611877782424,
BTC_USDT,1d,phase5,expansion,3.0,36.0,30.0,15.0,10.0,,,,0.8967035343789248,
BTC_USDT,1d,phase6,accumulation,11.0,132.0,30.0,15.0,10.0,,,,0.8523170960882485,
BTC_USDT,1d,phase6,bear,26.0,312.0,30.0,15.0,10.0,,,,0.8974172493334296,
BTC_USDT,1d,phase6,capitulation,3.5,42.0,30.0,15.0,10.0,,,,0.8452419364886051,
BTC_USDT,1d,phase6,distribution,5.0,60.0,30.0,15.0,10.0,,,,0.8918947294540672,
BTC_USDT,1d,phase6,euphoria,2.0,24.0,30.0,15.0,10.0,,,,0.928611877782424,
BTC_USDT,1d,phase6,expansion,3.0,36.0,30.0,15.0,10.0,,,,0.8967035343789248,
BTC_USDT,1d,regime3,down,20.0,240.0,30.0,15.0,10.0,,,,0.8914112526973483,
BTC_USDT,1d,regime3,range,11.0,132.0,30.0,15.0,10.0,,,,0.8064722360405991,
BTC_USDT,1d,regime3,up,24.5,294.0,30.0,15.0,10.0,,,,0.8981270289866183,
BTC_USDT,2h,phase5,accumulation,1.0,14.0,360.0,180.0,120.0,,,,0.9412313885568596,522.0
BTC_USDT,2h,phase5,bear,1.0,3.0,360.0,180.0,90.0,,,,0.9248024244694724,566.5
BTC_USDT,2h,phase5,distribution,1.0,16.5,360.0,180.0,120.0,,,,0.9248174853179868,562.0
BTC_USDT,2h,phase5,expansion,1.0,3.0,360.0,180.0,120.0,,,,0.964030775380068,517.0
BTC_USDT,2h,phase6,accumulation,1.0,14.0,360.0,180.0,120.0,,,,0.9412313885568596,522.0
BTC_USDT,2h,phase6,bear,1.0,3.0,360.0,180.0,90.0,,,,0.9257961635925472,568.5
BTC_USDT,2h,phase6,capitulation,1.0,2.0,360.0,180.0,120.0,,,,0.9449111353661146,1343.0
BTC_USDT,2h,phase6,distribution,1.0,16.5,360.0,180.0,120.0,,,,0.9248174853179868,562.0
BTC_USDT,2h,phase6,expansion,1.0,3.0,360.0,180.0,120.0,,,,0.964030775380068,517.0
BTC_USDT,2h,regime3,down,1.0,23.0,360.0,180.0,120.0,,,,0.9055425012511596,633.0
BTC_USDT,2h,regime3,range,8.5,103.0,360.0,180.0,120.0,,,,0.8953319698375711,647.0
BTC_USDT,2h,regime3,up,2.0,29.0,360.0,180.0,120.0,,,,0.9158743166016348,653.0
