labelset,label,start,end,duration_days,duration_bars,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean,days_since_halving_start,days_since_halving_mid,days_since_halving_end
phase6,distribution,2017-09-16,2017-10-15,29,29,348,30.0,15.0,7.5,,,,0.86118512218587,434.0,448.5,463.0
phase6,expansion,2017-10-15,2017-11-10,26,26,312,30.0,15.0,10.0,,,,0.9399193030705518,463.0,476.0,489.0
phase6,euphoria,2017-11-10,2017-11-11,1,1,12,30.0,15.0,10.0,,,,0.9468819715665113,489.0,489.5,490.0
phase6,distribution,2017-11-11,2017-11-15,4,4,48,30.0,15.0,10.0,,,,0.9605979397088433,490.0,492.0,494.0
phase6,expansion,2017-11-15,2017-11-17,2,2,24,30.0,15.0,10.0,,,,0.9635072281310308,494.0,495.0,496.0
phase6,euphoria,2017-11-17,2018-01-16,60,60,720,30.0,15.0,10.0,,,,0.9414152665680189,496.0,526.0,556.0
phase6,distribution,2018-01-16,2018-02-03,18,18,216,30.0,15.0,7.5,,,,0.8909733220221597,556.0,565.0,574.0
phase6,bear,2018-02-03,2018-05-06,92,92,1104,30.0,15.0,10.0,,,,0.9189886510575589,574.0,620.0,666.0
phase6,distribution,2018-05-06,2018-05-11,5,5,60,30.0,15.0,3.2142857142857144,,,,0.7823718012854118,666.0,668.5,671.0
phase6,bear,2018-05-11,2018-07-30,80,80,960,30.0,15.0,10.0,,,,0.900454909340949,671.0,711.0,751.0
phase6,distribution,2018-07-30,2018-08-04,5,5,60,30.0,15.0,7.5,,,,0.9675949037549527,751.0,753.5,756.0
phase6,bear,2018-08-04,2018-12-17,135,135,1620,30.0,15.0,8.75,,,,0.9122923973103703,756.0,823.5,891.0
phase6,capitulation,2018-12-17,2018-12-19,2,2,24,30.0,15.0,10.0,,,,0.9136233047779366,891.0,892.0,893.0
phase6,bear,2018-12-19,2019-04-02,104,104,1248,30.0,15.0,10.0,,,,0.8212507664142842,893.0,945.0,997.0
phase6,distribution,2019-04-02,2019-05-14,42,42,504,30.0,15.0,10.0,,,,0.8940190949808323,997.0,1018.0,1039.0
phase6,expansion,2019-05-14,2019-05-17,3,3,36,30.0,15.0,10.0,,,,0.9883255289897572,1039.0,1040.5,1042.0
phase6,distribution,2019-05-17,2019-05-19,2,2,24,30.0,15.0,10.0,,,,0.9869588089348174,1042.0,1043.0,1044.0
phase6,expansion,2019-05-19,2019-05-22,3,3,36,30.0,15.0,10.0,,,,0.980763131639366,1044.0,1045.5,1047.0
phase6,euphoria,2019-05-22,2019-05-24,2,2,24,30.0,15.0,10.0,,,,0.9714142521579459,1047.0,1048.0,1049.0
phase6,expansion,2019-05-24,2019-05-26,2,2,24,30.0,15.0,10.0,,,,0.9611652122360784,1049.0,1050.0,1051.0
phase6,euphoria,2019-05-26,2019-05-27,1,1,12,30.0,15.0,10.0,,,,0.9491306595343394,1051.0,1051.5,1052.0
phase6,expansion,2019-05-27,2019-05-28,1,1,12,30.0,15.0,10.0,,,,0.9374593023542542,1052.0,1052.5,1053.0
phase6,euphoria,2019-05-28,2019-05-29,1,1,12,30.0,15.0,10.0,,,,0.9227704892405648,1053.0,1053.5,1054.0
phase6,expansion,2019-05-29,2019-05-30,1,1,12,30.0,15.0,10.0,,,,0.9049648494505642,1054.0,1054.5,1055.0
phase6,euphoria,2019-05-30,2019-06-12,13,13,156,30.0,15.0,6.75,,,,0.8774658901792277,1055.0,1061.5,1068.0
phase6,expansion,2019-06-12,2019-06-27,15,15,180,30.0,15.0,6.0,,,,0.9181578728668505,1068.0,1075.5,1083.0
phase6,euphoria,2019-06-27,2019-07-19,22,22,264,30.0,15.0,10.0,,,,0.8718997246039318,1083.0,1094.0,1105.0
phase6,distribution,2019-07-19,2019-08-05,17,17,204,30.0,12.5,10.0,,,,0.8055257691364294,1105.0,1113.5,1122.0
phase6,expansion,2019-08-05,2019-08-06,1,1,12,30.0,10.0,11.25,,,,0.9263713491764969,1122.0,1122.5,1123.0
phase6,distribution,2019-08-06,2019-08-07,1,1,12,30.0,12.5,12.5,,,,0.9505217391978505,1123.0,1123.5,1124.0
phase6,expansion,2019-08-07,2019-08-10,3,3,36,30.0,15.0,10.0,,,,0.9720152485153931,1124.0,1125.5,1127.0
phase6,distribution,2019-08-10,2019-09-26,47,47,564,30.0,15.0,10.0,,,,0.915229320991009,1127.0,1150.5,1174.0
phase6,bear,2019-09-26,2019-10-09,13,13,156,30.0,15.0,10.0,,,,0.970426366413123,1174.0,1180.5,1187.0
phase6,distribution,2019-10-09,2019-10-11,2,2,24,30.0,15.0,10.0,,,,0.9653431330889229,1187.0,1188.0,1189.0
phase6,bear,2019-10-11,2019-10-25,14,14,168,30.0,10.0,10.0,,,,0.8891971405810867,1189.0,1196.0,1203.0
phase6,distribution,2019-10-25,2019-11-15,21,21,252,30.0,15.0,7.5,,,,0.878944835111898,1203.0,1213.5,1224.0
phase6,bear,2019-11-15,2020-01-14,60,60,720,30.0,15.0,10.0,,,,0.8478170795459892,1224.0,1254.0,1284.0
phase6,distribution,2020-01-14,2020-03-11,57,57,684,30.0,15.0,10.0,,,,0.9129253288019177,1284.0,1312.5,1341.0
phase6,bear,2020-03-11,2020-03-18,7,7,84,30.0,15.0,10.0,,,,0.9276521545532601,1341.0,1344.5,1348.0
phase6,capitulation,2020-03-18,2020-03-24,6,6,72,30.0,15.0,10.0,,,,0.8873432890608941,1348.0,1351.0,1354.0
phase6,bear,2020-03-24,2020-03-27,3,3,36,30.0,15.0,10.0,,,,0.8761233946677331,1354.0,1355.5,1357.0
phase6,capitulation,2020-03-27,2020-04-01,5,5,60,30.0,15.0,10.0,,,,0.8875201399072861,1357.0,1359.5,1362.0
phase6,bear,2020-04-01,2020-04-29,28,28,336,30.0,15.0,7.5,,,,0.8484867611320914,1362.0,1376.0,1390.0
phase6,distribution,2020-04-29,2020-08-01,94,94,1128,30.0,15.0,7.5,,,,0.8054909435538903,1390.0,47.0,82.0
phase6,accumulation,2020-08-01,2020-08-02,1,1,12,30.0,15.0,7.5,,,,0.9813040365061108,82.0,82.5,83.0
phase6,expansion,2020-08-02,2020-08-26,24,24,288,30.0,15.0,10.0,,,,0.8791849722374984,83.0,95.0,107.0
phase6,accumulation,2020-08-26,2020-09-03,8,8,96,30.0,15.0,10.0,,,,0.7839848718535338,107.0,111.0,115.0
phase6,distribution,2020-09-03,2020-10-27,54,54,648,30.0,15.0,10.0,,,,0.8741655826288914,115.0,142.0,169.0
phase6,accumulation,2020-10-27,2020-11-07,11,11,132,30.0,15.0,10.0,,,,0.9714106800399072,169.0,174.5,180.0
phase6,expansion,2020-11-07,2020-11-26,19,19,228,30.0,15.0,7.5,,,,0.9063238803009936,180.0,189.5,199.0
phase6,distribution,2020-11-26,2020-11-28,2,2,24,30.0,15.0,6.0,,,,0.9321181993527948,199.0,200.0,201.0
phase6,expansion,2020-11-28,2021-01-11,44,44,528,30.0,15.0,10.0,,,,0.9045879665113077,201.0,223.0,245.0
phase6,distribution,2021-01-11,2021-01-12,1,1,12,30.0,15.0,6.875,,,,0.9745475463222382,245.0,245.5,246.0
phase6,euphoria,2021-01-12,2021-03-21,68,68,816,30.0,15.0,10.0,,,,0.9263800389683319,246.0,280.0,314.0
phase6,expansion,2021-03-21,2021-03-22,1,1,12,30.0,15.0,10.0,,,,0.95039325573,314.0,314.5,315.0
phase6,euphoria,2021-03-22,2021-03-24,2,2,24,30.0,15.0,10.0,,,,0.9425721559875373,315.0,316.0,317.0
phase6,distribution,2021-03-24,2021-03-27,3,3,36,30.0,15.0,10.0,,,,0.9378513394887733,317.0,318.5,320.0
phase6,expansion,2021-03-27,2021-04-18,22,22,264,30.0,15.0,10.0,,,,0.870926926812874,320.0,331.0,342.0
phase6,distribution,2021-04-18,2021-04-30,12,12,144,30.0,15.0,10.0,,,,0.8792497105881232,342.0,348.0,354.0
phase6,expansion,2021-04-30,2021-05-02,2,2,24,30.0,15.0,10.0,,,,0.9639523159881791,354.0,355.0,356.0
phase6,distribution,2021-05-02,2021-05-05,3,3,36,30.0,15.0,8.0,,,,0.9606343194698028,356.0,357.5,359.0
phase6,expansion,2021-05-05,2021-05-06,1,1,12,30.0,15.0,8.0,,,,0.9532453433356922,359.0,359.5,360.0
phase6,distribution,2021-05-06,2021-05-07,1,1,12,30.0,15.0,10.0,,,,0.9482369965752458,360.0,360.5,361.0
phase6,expansion,2021-05-07,2021-05-10,3,3,36,30.0,15.0,10.0,,,,0.9342705054718297,361.0,362.5,364.0
phase6,distribution,2021-05-10,2021-05-19,9,9,108,30.0,15.0,10.0,,,,0.8408431786192875,364.0,368.5,373.0
phase6,bear,2021-05-19,2021-06-21,33,33,396,30.0,15.0,10.0,,,,0.8831218533467889,373.0,389.5,406.0
phase6,capitulation,2021-06-21,2021-06-22,1,1,12,12.5,12.5,30.0,,,,0.6924810122083038,406.0,406.5,407.0
phase6,bear,2021-06-22,2021-07-30,38,38,456,30.0,15.0,10.0,,,,0.7830150976598519,407.0,426.0,445.0
phase6,distribution,2021-07-30,2021-08-01,2,2,24,30.0,15.0,10.0,,,,0.9716017416800398,445.0,446.0,447.0
phase6,bear,2021-08-01,2021-08-06,5,5,60,30.0,15.0,10.0,,,,0.9765037349344144,447.0,449.5,452.0
phase6,distribution,2021-08-06,2021-10-11,66,66,792,30.0,15.0,10.0,,,,0.8571232171678709,452.0,485.0,518.0
phase6,expansion,2021-10-11,2021-10-12,1,1,12,30.0,15.0,4.285714285714286,,,,0.9606568540569937,518.0,518.5,519.0
phase6,distribution,2021-10-12,2021-10-13,1,1,12,30.0,15.0,4.285714285714286,,,,0.9640851447181086,519.0,519.5,520.0
phase6,expansion,2021-10-13,2021-10-27,14,14,168,30.0,15.0,5.0,,,,0.9446956496437157,520.0,527.0,534.0
phase6,distribution,2021-10-27,2021-10-28,1,1,12,30.0,15.0,10.0,,,,0.9309291609295932,534.0,534.5,535.0
phase6,expansion,2021-10-28,2021-11-16,19,19,228,30.0,15.0,5.0,,,,0.7208947774921722,535.0,544.5,554.0
phase6,distribution,2021-11-16,2022-01-05,50,50,600,30.0,15.0,6.0,,,,0.834004152271156,554.0,579.0,604.0
phase6,bear,2022-01-05,2022-01-12,7,7,84,30.0,15.0,10.0,,,,0.9353923346394373,604.0,607.5,611.0
phase6,distribution,2022-01-12,2022-01-13,1,1,12,30.0,15.0,10.0,,,,0.954827663955791,611.0,611.5,612.0
phase6,bear,2022-01-13,2022-02-08,26,26,312,30.0,15.0,10.0,,,,0.9464594741365661,612.0,625.0,638.0
phase6,distribution,2022-02-08,2022-02-10,2,2,24,30.0,15.0,10.0,,,,0.967983569834567,638.0,639.0,640.0
phase6,bear,2022-02-10,2022-02-15,5,5,60,30.0,10.0,15.0,,,,0.9506797363926861,640.0,642.5,645.0
phase6,distribution,2022-02-15,2022-02-16,1,1,12,30.0,15.0,10.0,,,,0.9188202002214153,645.0,645.5,646.0
phase6,bear,2022-02-16,2022-03-01,13,13,156,30.0,15.0,10.0,,,,0.9362203593176883,646.0,652.5,659.0
phase6,distribution,2022-03-01,2022-03-03,2,2,24,30.0,15.0,10.0,,,,0.902183290133889,659.0,660.0,661.0
phase6,bear,2022-03-03,2022-03-24,21,21,252,15.0,15.0,10.0,,,,0.8429214971009616,661.0,671.5,682.0
phase6,distribution,2022-03-24,2022-04-12,19,19,228,30.0,15.0,10.0,,,,0.9291165052188012,682.0,691.5,701.0
phase6,bear,2022-04-12,2023-01-16,279,279,3348,30.0,15.0,10.0,,,,0.8839240287903211,701.0,840.5,980.0
phase6,distribution,2023-01-16,2023-10-30,287,287,3444,30.0,15.0,10.0,,,,0.8681200748398239,980.0,1123.5,1267.0
phase6,accumulation,2023-10-30,2023-11-21,22,22,264,30.0,15.0,10.0,,,,0.9600170511793358,1267.0,1278.0,1289.0
phase6,expansion,2023-11-21,2023-11-22,1,1,12,30.0,15.0,10.0,,,,0.8951883208189887,1289.0,1289.5,1290.0
phase6,accumulation,2023-11-22,2023-12-11,19,19,228,30.0,10.0,10.0,,,,0.6446099667970195,1290.0,1299.5,1309.0
phase6,expansion,2023-12-11,2023-12-15,4,4,48,30.0,15.0,10.0,,,,0.9672799798909159,1309.0,1311.0,1313.0
phase6,accumulation,2023-12-15,2024-01-09,25,25,300,15.0,15.0,10.0,,,,0.812077787323396,1313.0,1325.5,1338.0
phase6,expansion,2024-01-09,2024-01-10,1,1,12,15.0,10.0,6.0,,,,0.7070790930528476,1338.0,1338.5,1339.0
phase6,accumulation,2024-01-10,2024-01-12,2,2,24,15.0,15.0,6.0,,,,0.7314375732343924,1339.0,1340.0,1341.0
phase6,expansion,2024-01-12,2024-01-14,2,2,24,30.0,15.0,6.0,,,,0.7063888241425417,1341.0,1342.0,1343.0
phase6,distribution,2024-01-14,2024-01-15,1,1,12,30.0,15.0,7.5,,,,0.6986021568160994,1343.0,1343.5,1344.0
phase6,expansion,2024-01-15,2024-01-18,3,3,36,30.0,15.0,7.5,,,,0.7363912602881098,1344.0,1345.5,1347.0
phase6,distribution,2024-01-18,2024-02-13,26,26,312,30.0,15.0,10.0,,,,0.9040321988899476,1347.0,1360.0,1373.0
phase6,accumulation,2024-02-13,2024-03-04,20,20,240,30.0,15.0,10.0,,,,0.9780523933417811,1373.0,1383.0,1393.0
phase6,expansion,2024-03-04,2024-03-16,12,12,144,30.0,15.0,10.0,,,,0.9623182465092328,1393.0,1399.0,1405.0
phase6,distribution,2024-03-16,2024-03-17,1,1,12,30.0,15.0,10.0,,,,0.9260721755430945,1405.0,1405.5,1406.0
phase6,expansion,2024-03-17,2024-03-19,2,2,24,30.0,15.0,10.0,,,,0.9215927027195815,1406.0,1407.0,1408.0
phase6,distribution,2024-03-19,2024-03-20,1,1,12,30.0,15.0,10.0,,,,0.9263151222318736,1408.0,1408.5,1409.0
phase6,euphoria,2024-03-20,2024-03-22,2,2,24,30.0,15.0,10.0,,,,0.9361883290178318,1409.0,1410.0,1411.0
phase6,distribution,2024-03-22,2024-03-24,2,2,24,30.0,15.0,10.0,,,,0.945848764908277,1411.0,1412.0,1413.0
phase6,expansion,2024-03-24,2024-04-02,9,9,108,15.0,30.0,10.0,,,,0.812674999120155,1413.0,1417.5,1422.0
phase6,distribution,2024-04-02,2024-04-03,1,1,12,15.0,30.0,3.333333333333333,,,,0.6768359831762426,1422.0,1422.5,1423.0
phase6,expansion,2024-04-03,2024-04-13,10,10,120,15.0,30.0,10.0,,,,0.739307868329809,1423.0,1428.0,1433.0
phase6,distribution,2024-04-13,2024-04-22,9,9,108,10.0,30.0,15.0,,,,0.798998088027938,1433.0,1434.5,2.0
phase6,expansion,2024-04-22,2024-04-24,2,2,24,15.0,30.0,10.0,,,,0.8231543666021488,2.0,3.0,4.0
phase6,distribution,2024-04-24,2024-11-11,201,201,2412,30.0,15.0,10.0,,,,0.8989557344022518,4.0,104.5,205.0
phase6,expansion,2024-11-11,2024-12-11,30,30,360,30.0,10.0,10.0,,,,0.9413559646396642,205.0,220.0,235.0
phase6,accumulation,2024-12-11,2024-12-22,11,11,132,30.0,7.5,8.75,,,,0.7529771549097718,235.0,240.5,246.0
phase6,distribution,2024-12-22,2024-12-24,2,2,24,30.0,10.0,7.5,,,,0.7645177103372977,246.0,247.0,248.0
phase6,accumulation,2024-12-24,2024-12-27,3,3,36,30.0,12.5,12.5,,,,0.8269877697338754,248.0,249.5,251.0
phase6,distribution,2024-12-27,2025-01-02,6,6,72,30.0,15.0,10.0,,,,0.883742398956788,251.0,254.0,257.0
phase6,accumulation,2025-01-02,2025-01-08,6,6,72,30.0,10.0,10.0,,,,0.8574186731021092,257.0,260.0,263.0
phase6,distribution,2025-01-08,2025-01-18,10,10,120,15.0,10.0,10.0,,,,0.8406482321655303,263.0,268.0,273.0
phase6,accumulation,2025-01-18,2025-02-01,14,14,168,15.0,15.0,10.0,,,,0.8601653428532438,273.0,280.0,287.0
phase6,distribution,2025-02-01,2025-05-22,110,110,1320,30.0,15.0,10.0,,,,0.8472745453454131,287.0,342.0,397.0
phase6,accumulation,2025-05-22,2025-05-31,9,9,108,30.0,10.0,10.0,,,,0.9196789482727533,397.0,401.5,406.0
phase6,distribution,2025-05-31,2025-08-26,87,88,1056,30.0,15.0,10.0,,,,0.8911907873153208,406.0,449.5,493.0
