month,symbol,timeframe,phase5psd_accumulation_days,phase5psd_accumulation_h2_bars,phase5psd_bear_days,phase5psd_bear_h2_bars,phase5psd_distribution_days,phase5psd_distribution_h2_bars,phase5psd_expansion_days,phase5psd_expansion_h2_bars,phase5psd_euphoria_days,phase5psd_euphoria_h2_bars
2011-08,BTC_USD,2h,0,0,0,0,0,0,0,0,7,67
2011-09,BTC_USD,2h,0,0,0,0,0,0,6,69,26,282
2011-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2011-11,BTC_USD,2h,0,0,0,0,0,0,2,3,29,347
2011-12,BTC_USD,2h,0,0,0,0,0,0,9,90,24,273
2012-01,BTC_USD,2h,0,0,0,0,0,0,1,6,31,356
2012-02,BTC_USD,2h,0,0,0,0,0,0,0,0,29,337
2012-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2012-04,BTC_USD,2h,0,0,0,0,0,0,4,35,28,316
2012-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2012-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2012-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2012-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2012-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2012-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2012-11,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2012-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2013-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2013-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2013-03,BTC_USD,2h,0,0,0,0,0,0,3,35,30,328
2013-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2013-05,BTC_USD,2h,0,0,0,0,0,0,4,35,29,328
2013-06,BTC_USD,2h,0,0,0,0,0,0,6,52,26,299
2013-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2013-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2013-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2013-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2013-11,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2013-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2014-01,BTC_USD,2h,0,0,0,0,0,0,7,69,26,294
2014-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2014-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2014-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2014-05,BTC_USD,2h,0,0,0,0,0,0,2,11,30,351
2014-06,BTC_USD,2h,0,0,0,0,0,0,3,30,28,320
2014-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2014-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2014-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2014-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2014-11,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2014-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2015-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2015-02,BTC_USD,2h,0,0,0,0,0,0,3,23,26,303
2015-03,BTC_USD,2h,0,0,0,0,0,0,6,69,26,293
2015-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2015-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2015-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2015-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2015-08,BTC_USD,2h,0,0,0,0,0,0,4,35,29,328
2015-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2015-10,BTC_USD,2h,0,0,0,0,0,0,4,35,29,328
2015-11,BTC_USD,2h,0,0,0,0,0,0,5,52,27,299
2015-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2016-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2016-02,BTC_USD,2h,0,0,0,0,0,0,5,52,26,287
2016-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2016-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2016-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2016-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2016-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2016-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2016-09,BTC_USD,2h,0,0,0,0,0,0,6,69,26,282
2016-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2016-11,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2016-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2017-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2017-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2017-03,BTC_USD,2h,0,0,0,0,0,0,6,69,27,294
2017-04,BTC_USD,2h,0,0,0,0,0,0,5,52,27,299
2017-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2017-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2017-07,BTC_USD,2h,0,0,0,0,0,0,4,35,29,328
2017-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2017-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2017-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2017-11,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2017-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2018-01,BTC_USD,2h,0,0,0,0,0,0,5,52,28,311
2018-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2018-03,BTC_USD,2h,0,0,0,0,0,0,5,58,27,304
2018-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2018-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2018-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2018-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2018-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2018-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2018-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2018-11,BTC_USD,2h,0,0,0,0,0,0,5,52,27,299
2018-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2019-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2019-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2019-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2019-04,BTC_USD,2h,0,0,0,0,0,0,2,12,29,338
2019-05,BTC_USD,2h,0,0,0,0,0,0,4,46,28,316
2019-06,BTC_USD,2h,0,0,0,0,0,0,4,35,28,316
2019-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2019-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2019-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2019-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2019-11,BTC_USD,2h,0,0,0,0,0,0,4,30,27,320
2019-12,BTC_USD,2h,0,0,0,0,0,0,1,11,31,351
2020-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2020-02,BTC_USD,2h,0,0,0,0,0,0,5,52,26,287
2020-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2020-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2020-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2020-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2020-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2020-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2020-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2020-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2020-11,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2020-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2021-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2021-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2021-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2021-04,BTC_USD,2h,0,0,0,0,0,0,4,35,28,316
2021-05,BTC_USD,2h,0,0,0,0,0,0,4,35,29,328
2021-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2021-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2021-08,BTC_USD,2h,0,0,0,0,0,0,9,78,25,286
2021-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2021-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2021-11,BTC_USD,2h,0,0,0,0,0,0,5,47,26,303
2021-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2022-01,BTC_USD,2h,0,0,0,0,0,0,6,60,26,302
2022-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2022-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2022-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2022-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2022-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2022-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2022-08,BTC_USD,2h,0,0,0,0,0,0,6,69,27,294
2022-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2022-10,BTC_USD,2h,0,0,0,0,0,0,3,21,29,341
2022-11,BTC_USD,2h,0,0,0,0,0,0,1,3,30,347
2022-12,BTC_USD,2h,0,0,0,0,0,0,4,35,29,328
2023-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2023-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2023-03,BTC_USD,2h,0,0,0,0,0,0,6,69,27,294
2023-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2023-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2023-06,BTC_USD,2h,0,0,0,0,0,0,5,52,27,299
2023-07,BTC_USD,2h,0,0,0,0,0,0,4,35,29,328
2023-08,BTC_USD,2h,0,0,0,0,0,0,3,14,29,348
2023-09,BTC_USD,2h,0,0,0,0,0,0,8,95,23,255
2023-10,BTC_USD,2h,0,0,0,0,0,0,9,84,25,280
2023-11,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2023-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2024-01,BTC_USD,2h,0,0,0,0,0,0,6,69,27,294
2024-02,BTC_USD,2h,0,0,0,0,0,0,4,35,27,304
2024-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2024-04,BTC_USD,2h,0,0,0,0,0,0,5,52,27,299
2024-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2024-06,BTC_USD,2h,0,0,0,0,0,0,5,52,27,299
2024-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2024-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2024-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2024-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2024-11,BTC_USD,2h,0,0,0,0,0,0,9,87,25,266
2024-12,BTC_USD,2h,0,0,0,0,0,0,8,86,25,277
2025-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2025-02,BTC_USD,2h,0,0,0,0,0,0,8,68,23,260
2025-03,BTC_USD,2h,0,0,0,0,0,0,8,77,26,287
2025-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2025-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2025-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2025-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2025-08,BTC_USD,2h,0,0,0,0,0,0,0,0,26,307
2017-08,BTC_USDT,2h,0,0,0,0,0,0,0,0,8,83
2017-09,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,347
2017-10,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2017-11,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2017-12,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2018-01,BTC_USDT,2h,0,0,0,0,0,0,5,60,27,302
2018-02,BTC_USDT,2h,0,0,0,0,0,0,3,28,26,282
2018-03,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2018-04,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2018-05,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2018-06,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,344
2018-07,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,358
2018-08,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2018-09,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2018-10,BTC_USDT,2h,0,0,0,0,0,0,5,52,28,310
2018-11,BTC_USDT,2h,0,0,0,0,0,0,4,35,28,313
2018-12,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2019-01,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2019-02,BTC_USDT,2h,0,0,0,0,0,0,0,0,28,325
2019-03,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,358
2019-04,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2019-05,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,357
2019-06,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2019-07,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2019-08,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,357
2019-09,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2019-10,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2019-11,BTC_USDT,2h,0,0,0,0,0,0,4,32,27,316
2019-12,BTC_USDT,2h,0,0,0,0,0,0,1,9,31,353
2020-01,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2020-02,BTC_USDT,2h,0,0,0,0,0,0,10,102,20,234
2020-03,BTC_USDT,2h,0,0,0,0,0,0,2,24,30,338
2020-04,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,348
2020-05,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2020-06,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,348
2020-07,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2020-08,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2020-09,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2020-10,BTC_USDT,2h,0,0,0,0,0,0,5,52,28,311
2020-11,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2020-12,BTC_USDT,2h,0,0,0,0,0,0,4,35,29,326
2021-01,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2021-02,BTC_USDT,2h,0,0,0,0,0,0,0,0,28,325
2021-03,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2021-04,BTC_USDT,2h,0,0,0,0,0,0,4,35,28,314
2021-05,BTC_USDT,2h,0,0,0,0,0,0,5,52,28,311
2021-06,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2021-07,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2021-08,BTC_USDT,2h,0,0,0,0,0,0,7,53,27,309
2021-09,BTC_USDT,2h,0,0,0,0,0,0,1,6,30,344
2021-10,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2021-11,BTC_USDT,2h,0,0,0,0,0,0,4,35,28,316
2021-12,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2022-01,BTC_USDT,2h,0,0,0,0,0,0,7,69,25,293
2022-02,BTC_USDT,2h,0,0,0,0,0,0,1,6,28,320
2022-03,BTC_USDT,2h,0,0,0,0,0,0,6,70,29,295
2022-04,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2022-05,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2022-06,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2022-07,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2022-08,BTC_USDT,2h,0,0,0,0,0,0,6,69,27,294
2022-09,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2022-10,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2022-11,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2022-12,BTC_USDT,2h,0,0,0,0,0,0,5,48,27,314
2023-01,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2023-02,BTC_USDT,2h,0,0,0,0,0,0,0,0,28,325
2023-03,BTC_USDT,2h,0,0,0,0,0,0,14,138,21,227
2023-04,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2023-05,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2023-06,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2023-07,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2023-08,BTC_USDT,2h,0,0,0,0,0,0,2,6,30,356
2023-09,BTC_USDT,2h,0,0,0,0,0,0,8,86,23,264
2023-10,BTC_USDT,2h,0,0,0,0,0,0,9,76,25,288
2023-11,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2023-12,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2024-01,BTC_USDT,2h,0,0,0,0,0,0,6,52,27,311
2024-02,BTC_USDT,2h,0,0,0,0,0,0,0,0,29,337
2024-03,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2024-04,BTC_USDT,2h,0,0,0,0,0,0,8,81,25,271
2024-05,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2024-06,BTC_USDT,2h,0,0,0,0,0,0,6,52,26,299
2024-07,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2024-08,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2024-09,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2024-10,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2024-11,BTC_USDT,2h,0,0,0,0,0,0,9,87,25,266
2024-12,BTC_USDT,2h,0,0,0,0,0,0,10,99,22,263
2025-01,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2025-02,BTC_USDT,2h,0,0,0,0,0,0,5,42,24,284
2025-03,BTC_USDT,2h,0,0,0,0,0,0,8,85,26,279
2025-04,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2025-05,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2025-06,BTC_USDT,2h,0,0,0,0,0,0,0,0,30,349
2025-07,BTC_USDT,2h,0,0,0,0,0,0,0,0,31,361
2025-08,BTC_USDT,2h,0,0,0,0,0,0,0,0,26,306
