"K","Kind","Seed","Status","Percent","EquityMult","MDD","Sharpe","Lyap","CAGR","Calmar","Trades","Years","File"
"K2","phase","1","Done","100","0.8564974363252522","0.3922861441139731","-2.2905657814720817","-0.011064568172943826","-0.01100358097808718","-0.02804988435913313","483","14","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k2\seed_1\WFA_phase_K2_BTC_fused_20250923_182005.json"
"K2","phase","2","NotStarted","0",,,,,,,,,
"K2","phase","3","NotStarted","0",,,,,,,,,
"K2","phase","4","NotStarted","0",,,,,,,,,
"K2","phase","5","NotStarted","0",,,,,,,,,
"K2","phase","6","NotStarted","0",,,,,,,,,
"K2","phase","7","NotStarted","0",,,,,,,,,
"K2","phase","8","NotStarted","0",,,,,,,,,
"K2","phase","9","NotStarted","0",,,,,,,,,
"K2","phase","10","NotStarted","0",,,,,,,,,
"K2","phase","11","NotStarted","0",,,,,,,,,
"K2","phase","12","NotStarted","0",,,,,,,,,
"K2","phase","13","NotStarted","0",,,,,,,,,
"K2","phase","14","NotStarted","0",,,,,,,,,
"K2","phase","15","NotStarted","0",,,,,,,,,
"K2","phase","16","NotStarted","0",,,,,,,,,
"K2","phase","17","NotStarted","0",,,,,,,,,
"K2","phase","18","NotStarted","0",,,,,,,,,
"K2","phase","19","NotStarted","0",,,,,,,,,
"K2","phase","20","NotStarted","0",,,,,,,,,
"K2","phase","21","NotStarted","0",,,,,,,,,
"K2","phase","22","NotStarted","0",,,,,,,,,
"K2","phase","23","NotStarted","0",,,,,,,,,
"K2","phase","24","NotStarted","0",,,,,,,,,
"K2","phase","25","NotStarted","0",,,,,,,,,
"K2","phase","26","NotStarted","0",,,,,,,,,
"K2","phase","27","NotStarted","0",,,,,,,,,
"K2","phase","28","NotStarted","0",,,,,,,,,
"K2","phase","29","NotStarted","0",,,,,,,,,
"K2","phase","30","NotStarted","0",,,,,,,,,
"K2","fixed","1","InProgress","62.9",,,,,,,,,"C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_fixed_k2\seed_1\PROGRESS.json"
"K2","fixed","2","NotStarted","0",,,,,,,,,
"K2","fixed","3","NotStarted","0",,,,,,,,,
"K2","fixed","4","NotStarted","0",,,,,,,,,
"K2","fixed","5","NotStarted","0",,,,,,,,,
"K2","fixed","6","NotStarted","0",,,,,,,,,
"K2","fixed","7","NotStarted","0",,,,,,,,,
"K2","fixed","8","NotStarted","0",,,,,,,,,
"K2","fixed","9","NotStarted","0",,,,,,,,,
"K2","fixed","10","NotStarted","0",,,,,,,,,
"K2","fixed","11","NotStarted","0",,,,,,,,,
"K2","fixed","12","NotStarted","0",,,,,,,,,
"K2","fixed","13","NotStarted","0",,,,,,,,,
"K2","fixed","14","NotStarted","0",,,,,,,,,
"K2","fixed","15","NotStarted","0",,,,,,,,,
"K2","fixed","16","NotStarted","0",,,,,,,,,
"K2","fixed","17","NotStarted","0",,,,,,,,,
"K2","fixed","18","NotStarted","0",,,,,,,,,
"K2","fixed","19","NotStarted","0",,,,,,,,,
"K2","fixed","20","NotStarted","0",,,,,,,,,
"K2","fixed","21","NotStarted","0",,,,,,,,,
"K2","fixed","22","NotStarted","0",,,,,,,,,
"K2","fixed","23","NotStarted","0",,,,,,,,,
"K2","fixed","24","NotStarted","0",,,,,,,,,
"K2","fixed","25","NotStarted","0",,,,,,,,,
"K2","fixed","26","NotStarted","0",,,,,,,,,
"K2","fixed","27","NotStarted","0",,,,,,,,,
"K2","fixed","28","NotStarted","0",,,,,,,,,
"K2","fixed","29","NotStarted","0",,,,,,,,,
"K2","fixed","30","NotStarted","0",,,,,,,,,
"K3","phase","1","Done","100","1.35695941159362","0.08692381998644017","23.738126938473062","0.021803319286438427","0.022042748604061524","0.25358697544010517","463","14","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k3\seed_1\WFA_phase_K3_BTC_fused_20250923_073125.json"
"K3","phase","2","NotStarted","0",,,,,,,,,
"K3","phase","3","NotStarted","0",,,,,,,,,
"K3","phase","4","NotStarted","0",,,,,,,,,
"K3","phase","5","NotStarted","0",,,,,,,,,
"K3","phase","6","NotStarted","0",,,,,,,,,
"K3","phase","7","NotStarted","0",,,,,,,,,
"K3","phase","8","NotStarted","0",,,,,,,,,
"K3","phase","9","NotStarted","0",,,,,,,,,
"K3","phase","10","NotStarted","0",,,,,,,,,
"K3","phase","11","NotStarted","0",,,,,,,,,
"K3","phase","12","NotStarted","0",,,,,,,,,
"K3","phase","13","NotStarted","0",,,,,,,,,
"K3","phase","14","NotStarted","0",,,,,,,,,
"K3","phase","15","NotStarted","0",,,,,,,,,
"K3","phase","16","NotStarted","0",,,,,,,,,
"K3","phase","17","NotStarted","0",,,,,,,,,
"K3","phase","18","NotStarted","0",,,,,,,,,
"K3","phase","19","NotStarted","0",,,,,,,,,
"K3","phase","20","NotStarted","0",,,,,,,,,
"K3","phase","21","NotStarted","0",,,,,,,,,
"K3","phase","22","NotStarted","0",,,,,,,,,
"K3","phase","23","NotStarted","0",,,,,,,,,
"K3","phase","24","NotStarted","0",,,,,,,,,
"K3","phase","25","NotStarted","0",,,,,,,,,
"K3","phase","26","NotStarted","0",,,,,,,,,
"K3","phase","27","NotStarted","0",,,,,,,,,
"K3","phase","28","NotStarted","0",,,,,,,,,
"K3","phase","29","NotStarted","0",,,,,,,,,
"K3","phase","30","NotStarted","0",,,,,,,,,
"K3","fixed","1","InProgress","81.3",,,,,,,,,"C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_fixed_k3\seed_1\PROGRESS.json"
"K3","fixed","2","NotStarted","0",,,,,,,,,
"K3","fixed","3","NotStarted","0",,,,,,,,,
"K3","fixed","4","NotStarted","0",,,,,,,,,
"K3","fixed","5","NotStarted","0",,,,,,,,,
"K3","fixed","6","NotStarted","0",,,,,,,,,
"K3","fixed","7","NotStarted","0",,,,,,,,,
"K3","fixed","8","NotStarted","0",,,,,,,,,
"K3","fixed","9","NotStarted","0",,,,,,,,,
"K3","fixed","10","NotStarted","0",,,,,,,,,
"K3","fixed","11","NotStarted","0",,,,,,,,,
"K3","fixed","12","NotStarted","0",,,,,,,,,
"K3","fixed","13","NotStarted","0",,,,,,,,,
"K3","fixed","14","NotStarted","0",,,,,,,,,
"K3","fixed","15","NotStarted","0",,,,,,,,,
"K3","fixed","16","NotStarted","0",,,,,,,,,
"K3","fixed","17","NotStarted","0",,,,,,,,,
"K3","fixed","18","NotStarted","0",,,,,,,,,
"K3","fixed","19","NotStarted","0",,,,,,,,,
"K3","fixed","20","NotStarted","0",,,,,,,,,
"K3","fixed","21","NotStarted","0",,,,,,,,,
"K3","fixed","22","NotStarted","0",,,,,,,,,
"K3","fixed","23","NotStarted","0",,,,,,,,,
"K3","fixed","24","NotStarted","0",,,,,,,,,
"K3","fixed","25","NotStarted","0",,,,,,,,,
"K3","fixed","26","NotStarted","0",,,,,,,,,
"K3","fixed","27","NotStarted","0",,,,,,,,,
"K3","fixed","28","NotStarted","0",,,,,,,,,
"K3","fixed","29","NotStarted","0",,,,,,,,,
"K3","fixed","30","NotStarted","0",,,,,,,,,
"K5","phase","1","Done","100","1.5889749859327307","0.051153738502825785","6.09858466619548","0.03307779610087517","0.03363094857104154","0.6574484984940785","177","14","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k5\seed_1\WFA_phase_K5_BTC_fused_20250923_111330.json"
"K5","phase","2","NotStarted","0",,,,,,,,,
"K5","phase","3","NotStarted","0",,,,,,,,,
"K5","phase","4","NotStarted","0",,,,,,,,,
"K5","phase","5","NotStarted","0",,,,,,,,,
"K5","phase","6","NotStarted","0",,,,,,,,,
"K5","phase","7","NotStarted","0",,,,,,,,,
"K5","phase","8","NotStarted","0",,,,,,,,,
"K5","phase","9","NotStarted","0",,,,,,,,,
"K5","phase","10","NotStarted","0",,,,,,,,,
"K5","phase","11","NotStarted","0",,,,,,,,,
"K5","phase","12","NotStarted","0",,,,,,,,,
"K5","phase","13","NotStarted","0",,,,,,,,,
"K5","phase","14","NotStarted","0",,,,,,,,,
"K5","phase","15","NotStarted","0",,,,,,,,,
"K5","phase","16","NotStarted","0",,,,,,,,,
"K5","phase","17","NotStarted","0",,,,,,,,,
"K5","phase","18","NotStarted","0",,,,,,,,,
"K5","phase","19","NotStarted","0",,,,,,,,,
"K5","phase","20","NotStarted","0",,,,,,,,,
"K5","phase","21","NotStarted","0",,,,,,,,,
"K5","phase","22","NotStarted","0",,,,,,,,,
"K5","phase","23","NotStarted","0",,,,,,,,,
"K5","phase","24","NotStarted","0",,,,,,,,,
"K5","phase","25","NotStarted","0",,,,,,,,,
"K5","phase","26","NotStarted","0",,,,,,,,,
"K5","phase","27","NotStarted","0",,,,,,,,,
"K5","phase","28","NotStarted","0",,,,,,,,,
"K5","phase","29","NotStarted","0",,,,,,,,,
"K5","phase","30","NotStarted","0",,,,,,,,,
"K5","fixed","1","InProgress","75.1",,,,,,,,,"C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_fixed_k5\seed_1\PROGRESS.json"
"K5","fixed","2","NotStarted","0",,,,,,,,,
"K5","fixed","3","NotStarted","0",,,,,,,,,
"K5","fixed","4","NotStarted","0",,,,,,,,,
"K5","fixed","5","NotStarted","0",,,,,,,,,
"K5","fixed","6","NotStarted","0",,,,,,,,,
"K5","fixed","7","NotStarted","0",,,,,,,,,
"K5","fixed","8","NotStarted","0",,,,,,,,,
"K5","fixed","9","NotStarted","0",,,,,,,,,
"K5","fixed","10","NotStarted","0",,,,,,,,,
"K5","fixed","11","NotStarted","0",,,,,,,,,
"K5","fixed","12","NotStarted","0",,,,,,,,,
"K5","fixed","13","NotStarted","0",,,,,,,,,
"K5","fixed","14","NotStarted","0",,,,,,,,,
"K5","fixed","15","NotStarted","0",,,,,,,,,
"K5","fixed","16","NotStarted","0",,,,,,,,,
"K5","fixed","17","NotStarted","0",,,,,,,,,
"K5","fixed","18","NotStarted","0",,,,,,,,,
"K5","fixed","19","NotStarted","0",,,,,,,,,
"K5","fixed","20","NotStarted","0",,,,,,,,,
"K5","fixed","21","NotStarted","0",,,,,,,,,
"K5","fixed","22","NotStarted","0",,,,,,,,,
"K5","fixed","23","NotStarted","0",,,,,,,,,
"K5","fixed","24","NotStarted","0",,,,,,,,,
"K5","fixed","25","NotStarted","0",,,,,,,,,
"K5","fixed","26","NotStarted","0",,,,,,,,,
"K5","fixed","27","NotStarted","0",,,,,,,,,
"K5","fixed","28","NotStarted","0",,,,,,,,,
"K5","fixed","29","NotStarted","0",,,,,,,,,
"K5","fixed","30","NotStarted","0",,,,,,,,,
"K8","phase","1","Done","100","1.0106354095395182","0.07065730995564112","-1.3254802226224296","0.0007556608140809974","0.0007559463976443137","0.010698771268236778","410","14","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k8\seed_1\WFA_phase_K8_BTC_fused_20250923_080013.json"
"K8","phase","2","NotStarted","0",,,,,,,,,
"K8","phase","3","NotStarted","0",,,,,,,,,
"K8","phase","4","NotStarted","0",,,,,,,,,
"K8","phase","5","NotStarted","0",,,,,,,,,
"K8","phase","6","NotStarted","0",,,,,,,,,
"K8","phase","7","NotStarted","0",,,,,,,,,
"K8","phase","8","NotStarted","0",,,,,,,,,
"K8","phase","9","NotStarted","0",,,,,,,,,
"K8","phase","10","NotStarted","0",,,,,,,,,
"K8","phase","11","NotStarted","0",,,,,,,,,
"K8","phase","12","NotStarted","0",,,,,,,,,
"K8","phase","13","NotStarted","0",,,,,,,,,
"K8","phase","14","NotStarted","0",,,,,,,,,
"K8","phase","15","NotStarted","0",,,,,,,,,
"K8","phase","16","NotStarted","0",,,,,,,,,
"K8","phase","17","NotStarted","0",,,,,,,,,
"K8","phase","18","NotStarted","0",,,,,,,,,
"K8","phase","19","NotStarted","0",,,,,,,,,
"K8","phase","20","NotStarted","0",,,,,,,,,
"K8","phase","21","NotStarted","0",,,,,,,,,
"K8","phase","22","NotStarted","0",,,,,,,,,
"K8","phase","23","NotStarted","0",,,,,,,,,
"K8","phase","24","NotStarted","0",,,,,,,,,
"K8","phase","25","NotStarted","0",,,,,,,,,
"K8","phase","26","NotStarted","0",,,,,,,,,
"K8","phase","27","NotStarted","0",,,,,,,,,
"K8","phase","28","NotStarted","0",,,,,,,,,
"K8","phase","29","NotStarted","0",,,,,,,,,
"K8","phase","30","NotStarted","0",,,,,,,,,
"K8","fixed","1","InProgress","80.4",,,,,,,,,"C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_fixed_k8\seed_1\PROGRESS.json"
"K8","fixed","2","NotStarted","0",,,,,,,,,
"K8","fixed","3","NotStarted","0",,,,,,,,,
"K8","fixed","4","NotStarted","0",,,,,,,,,
"K8","fixed","5","NotStarted","0",,,,,,,,,
"K8","fixed","6","NotStarted","0",,,,,,,,,
"K8","fixed","7","NotStarted","0",,,,,,,,,
"K8","fixed","8","NotStarted","0",,,,,,,,,
"K8","fixed","9","NotStarted","0",,,,,,,,,
"K8","fixed","10","NotStarted","0",,,,,,,,,
"K8","fixed","11","NotStarted","0",,,,,,,,,
"K8","fixed","12","NotStarted","0",,,,,,,,,
"K8","fixed","13","NotStarted","0",,,,,,,,,
"K8","fixed","14","NotStarted","0",,,,,,,,,
"K8","fixed","15","NotStarted","0",,,,,,,,,
"K8","fixed","16","NotStarted","0",,,,,,,,,
"K8","fixed","17","NotStarted","0",,,,,,,,,
"K8","fixed","18","NotStarted","0",,,,,,,,,
"K8","fixed","19","NotStarted","0",,,,,,,,,
"K8","fixed","20","NotStarted","0",,,,,,,,,
"K8","fixed","21","NotStarted","0",,,,,,,,,
"K8","fixed","22","NotStarted","0",,,,,,,,,
"K8","fixed","23","NotStarted","0",,,,,,,,,
"K8","fixed","24","NotStarted","0",,,,,,,,,
"K8","fixed","25","NotStarted","0",,,,,,,,,
"K8","fixed","26","NotStarted","0",,,,,,,,,
"K8","fixed","27","NotStarted","0",,,,,,,,,
"K8","fixed","28","NotStarted","0",,,,,,,,,
"K8","fixed","29","NotStarted","0",,,,,,,,,
"K8","fixed","30","NotStarted","0",,,,,,,,,
